t_s,gpu_util_%,gpu_mem_mb,power_w,sm_mhz,mem_mhz,temp_c,cpu_total_%,cpu_mainproc_%,disk_read_mbs,disk_write_mbs,ram_used_gb
159.8,100,5945,28.67,1777,5486,56,39.0,72.8,5.55,0.13,13.21
160.8,100,5945,28.71,1777,5486,55,36.9,77.5,3.8,0.62,13.19
161.9,98,5936,28.78,1777,5486,56,38.3,91.6,4.08,0.11,13.18
163.0,100,5936,29.25,1777,5486,56,35.3,95.2,2.77,0.38,13.21
164.0,100,5942,28.85,1777,5486,56,33.1,72.9,1.57,0.29,13.2
165.1,100,5936,29.93,1777,5486,55,35.6,70.1,5.06,9.18,13.2
166.2,100,5945,29.68,1777,5486,56,41.8,73.9,3.46,0.98,13.24
167.2,99,5940,32.78,1777,5486,56,31.9,71.1,2.98,0.5,13.22
168.3,98,5940,28.44,1777,5486,57,32.0,71.6,1.74,1.05,13.23
169.4,99,5940,29.60,1777,5486,55,31.9,71.4,3.05,0.12,13.19
170.5,100,5940,28.97,1777,5486,56,40.6,85.9,1.87,3.6,13.21
171.5,100,5940,28.62,1777,5486,57,33.3,83.2,5.89,7.32,13.19
172.6,99,5940,29.05,1777,5486,56,30.9,80.1,1.32,0.0,13.22
173.7,100,5940,29.96,1777,5486,55,41.3,68.5,3.71,3.13,13.27
174.7,100,5940,29.93,1777,5486,55,38.9,74.0,4.56,5.25,13.27
175.8,100,5940,29.79,1777,5486,55,50.9,71.0,11.48,13.71,13.29
176.9,100,5940,28.71,1777,5486,55,47.0,71.6,5.13,10.22,13.31
177.9,100,5940,24.87,1777,5486,56,46.5,73.2,9.8,21.43,13.32
179.0,99,5940,34.92,1777,5486,56,64.4,72.9,11.98,12.03,13.37
180.1,98,5940,23.62,1777,5486,57,41.5,80.1,4.73,1.24,13.35
181.2,100,5940,31.21,1777,5486,57,40.7,81.3,17.43,1.09,13.37
182.2,100,5940,23.85,1777,5486,56,33.1,87.0,6.5,0.25,13.36
183.3,100,5940,29.91,1777,5486,55,37.2,72.4,4.32,0.07,13.38
184.4,100,5940,29.17,1777,5486,56,34.9,75.7,2.68,1.26,13.39
185.4,100,5937,29.92,1777,5486,55,35.0,70.9,2.29,0.91,13.41
186.5,100,5937,30.00,1777,5486,56,37.8,74.2,3.12,0.25,13.41
187.6,100,5933,30.09,1777,5486,56,37.0,72.8,4.51,2.14,13.43
188.6,100,5948,28.64,1777,5486,57,42.7,74.2,3.8,6.41,13.45
189.7,100,5935,32.56,1777,5486,56,39.7,75.6,2.4,0.76,13.46
190.8,100,5936,27.00,1777,5486,56,33.0,86.2,3.29,1.43,13.45
191.8,100,5949,28.77,1777,5486,57,45.4,90.6,4.95,0.97,13.49
192.9,100,5949,28.71,1777,5486,57,40.8,73.3,1.92,0.1,13.51
194.0,100,5954,29.13,1777,5486,56,40.8,74.1,4.25,0.61,13.5
195.0,100,5954,30.18,1777,5486,56,33.7,70.3,4.47,1.62,13.51
196.1,100,5945,29.94,1777,5486,56,35.5,71.8,4.21,0.14,13.48
