t_s,gpu_util_%,gpu_mem_mb,power_w,sm_mhz,mem_mhz,temp_c,cpu_total_%,cpu_mainproc_%,disk_read_mbs,disk_write_mbs,ram_used_gb
236.3,100,5872,33.07,1777,5486,56,24.2,1.5,2.27,1.3,13.59
237.4,100,5872,33.93,1777,5486,55,17.2,3.0,0.0,0.06,13.58
238.4,99,5872,28.05,1777,5486,55,23.9,30.9,0.64,2.29,13.58
239.5,99,5872,28.89,1777,5486,56,23.4,100.8,0.0,0.0,13.58
240.5,99,5872,32.43,1777,5486,56,30.6,98.1,0.1,0.25,13.57
241.6,100,5872,34.96,1777,5486,56,22.8,99.1,0.0,0.03,13.57
242.7,100,5872,33.26,1777,5486,56,27.0,81.2,1.48,0.04,13.58
243.7,100,5872,33.47,1777,5486,56,21.3,1.5,3.13,0.0,13.58
244.8,100,5872,33.13,1777,5486,55,14.9,0.0,0.02,0.15,13.58
245.8,100,5872,27.72,1777,5486,55,23.8,28.0,0.03,0.03,13.59
246.9,100,5872,29.60,1777,5486,56,28.4,102.0,0.07,0.07,13.59
247.9,100,5872,32.38,1777,5486,56,25.8,100.4,0.0,0.05,13.58
249.0,100,5872,34.22,1777,5486,55,32.7,101.8,0.72,1.64,13.59
250.1,100,5871,32.97,1777,5486,56,26.9,83.3,1.85,0.29,13.59
251.1,100,5871,33.06,1777,5486,56,24.1,3.0,3.6,0.67,13.57
252.2,100,5866,32.57,1777,5486,56,23.2,7.4,0.0,0.01,13.57
253.2,100,5866,27.21,1777,5486,55,21.2,28.1,0.0,0.0,13.57
254.3,100,5866,29.78,1777,5486,55,32.6,101.7,0.0,0.01,13.56
255.3,100,5866,32.64,1777,5486,56,25.3,98.8,0.0,0.22,13.56
256.4,100,5866,34.03,1777,5486,56,25.2,101.0,0.0,0.05,13.55
257.5,100,5866,33.72,1777,5486,56,27.3,79.5,2.52,0.0,13.56
258.5,100,5866,32.97,1777,5486,56,21.5,3.0,3.46,0.03,13.55
259.6,100,5866,34.20,1777,5486,56,16.6,0.0,0.0,0.01,13.57
260.6,100,5866,26.43,1777,5486,55,23.3,28.1,0.23,0.32,13.59
261.7,100,5866,29.97,1777,5486,55,26.3,102.6,0.07,0.22,13.58
262.7,100,5864,33.72,1777,5486,56,24.8,100.5,0.0,0.02,13.57
263.8,100,5864,33.77,1777,5486,56,25.0,99.5,0.0,0.05,13.57
264.9,88,5871,33.40,1777,5486,55,33.2,78.4,1.82,0.22,13.59
265.9,100,5871,33.10,1777,5486,56,21.8,1.5,3.12,0.11,13.59
267.0,100,5866,33.84,1777,5486,56,18.1,1.5,0.0,0.0,13.58
268.0,100,5866,27.98,1777,5486,55,19.4,30.7,0.0,0.06,13.58
269.1,100,5866,28.98,1777,5486,56,24.9,100.3,0.0,0.04,13.58
270.1,100,5866,34.81,1777,5486,56,29.3,96.5,0.13,0.33,13.58
271.2,100,5866,33.59,1777,5486,56,25.5,98.7,0.0,0.17,13.58
272.3,100,5866,33.30,1777,5486,56,29.4,79.8,1.08,0.0,13.59
273.3,100,5866,33.48,1777,5486,56,20.0,0.0,3.48,0.08,13.59
274.4,100,5866,33.16,1777,5486,55,22.0,11.9,0.02,0.04,13.58
275.4,100,5866,27.76,1777,5486,55,21.3,37.0,0.0,0.11,13.58
276.5,100,5866,29.58,1777,5486,56,25.2,97.6,0.0,0.0,13.58
277.6,100,5866,32.40,1777,5486,56,29.7,97.7,0.07,0.07,13.58
278.6,100,5866,34.18,1777,5486,56,31.3,100.2,0.0,0.06,13.57
279.7,100,5871,33.46,1777,5486,56,26.2,78.1,1.93,0.27,13.56
280.7,100,5866,33.62,1777,5486,56,19.7,1.5,2.89,0.23,13.56
281.8,100,5866,32.81,1777,5486,56,18.9,3.0,0.0,0.0,13.56
282.9,100,5866,27.79,1777,5486,55,17.6,32.3,0.08,0.04,13.56
283.9,100,5866,30.25,1777,5486,56,26.5,98.2,0.2,0.47,13.56
285.0,100,5866,32.60,1777,5486,56,26.7,90.3,0.0,0.42,13.55
286.0,100,5866,34.17,1777,5486,56,27.8,97.4,0.0,0.0,13.55
287.1,100,5871,33.67,1777,5486,56,31.0,76.8,2.11,0.04,13.56
288.1,100,5871,33.12,1777,5486,56,25.1,3.0,2.8,0.16,13.57
289.2,100,5866,32.67,1777,5486,55,20.5,1.5,0.0,0.03,13.56
290.3,100,5866,26.96,1777,5486,55,23.0,33.9,0.08,1.59,13.57
291.3,100,5866,29.90,1777,5486,55,34.3,93.3,0.0,0.01,13.57
292.4,100,5866,32.96,1777,5486,56,34.2,95.8,0.0,0.04,13.5
293.4,100,5866,34.04,1777,5486,56,27.6,98.8,0.0,0.04,13.49
294.5,87,5866,33.46,1777,5486,56,31.4,77.0,2.18,0.04,13.5
295.5,100,5866,33.11,1777,5486,56,20.4,1.5,2.02,0.08,13.49
296.6,100,5866,34.27,1777,5486,56,16.9,3.0,0.0,0.04,13.49
297.6,100,5866,26.41,1777,5486,55,22.0,47.3,0.08,0.2,13.49
298.7,100,5866,30.23,1777,5486,55,23.8,100.4,0.0,0.05,13.49
299.8,100,5866,34.29,1777,5486,56,23.0,99.1,0.79,0.32,13.47
300.8,100,5866,33.79,1777,5486,56,24.5,100.3,0.0,0.0,13.47
301.9,100,5866,33.44,1777,5486,56,26.6,72.7,3.08,0.11,13.47
302.9,100,5866,33.48,1777,5486,56,22.7,1.5,3.22,8.2,13.47
304.0,100,5866,33.44,1777,5486,56,19.7,0.0,0.0,0.21,13.47
305.1,99,5864,27.69,1777,5486,55,24.2,38.3,0.08,0.21,13.46
306.1,100,5864,29.63,1777,5486,56,27.5,97.6,0.0,0.02,13.46
307.2,100,5864,35.08,1777,5486,56,30.1,100.4,0.0,0.07,13.46
308.2,100,5864,33.60,1777,5486,56,26.0,100.5,0.0,0.05,13.46
309.3,100,5871,33.48,1777,5486,56,36.2,74.1,2.78,0.0,13.49
310.3,100,5871,33.60,1777,5486,56,21.8,1.5,1.95,0.29,13.45
311.4,100,5866,32.98,1777,5486,56,17.1,0.0,0.0,0.02,13.45
312.5,100,5866,28.06,1777,5486,55,22.7,39.8,0.0,0.52,13.45
313.5,100,5866,30.18,1777,5486,56,28.9,100.2,0.0,0.09,13.44
314.6,100,5866,32.38,1777,5486,56,25.2,99.5,0.08,0.18,13.44
315.6,100,5866,34.14,1777,5486,56,29.4,100.6,0.1,0.34,13.44
316.7,100,5864,33.47,1777,5486,56,26.9,70.8,1.11,0.38,13.47
317.7,100,5864,33.59,1777,5486,56,20.7,3.0,3.66,0.1,13.46
318.8,100,5864,32.58,1777,5486,56,25.8,17.8,0.0,0.0,13.45
319.9,100,5864,27.38,1777,5486,55,19.8,38.1,0.07,0.31,13.45
320.9,100,5864,29.98,1777,5486,56,25.5,99.9,0.1,0.37,13.45
322.0,100,5864,32.50,1777,5486,56,29.7,100.3,0.32,0.29,13.45
323.0,100,5864,34.10,1777,5486,56,26.0,100.7,0.08,0.18,13.45
324.1,100,5864,33.75,1777,5486,56,31.7,68.1,3.95,3.69,13.42
325.1,100,5864,33.62,1777,5486,56,18.5,1.5,2.71,0.49,13.43
326.2,100,5864,32.69,1777,5486,56,19.8,8.9,0.07,0.09,13.43
327.3,100,5864,26.75,1777,5486,55,26.9,54.7,0.0,0.04,13.43
328.3,100,5864,30.06,1777,5486,55,23.8,100.4,0.0,0.0,13.43
329.4,100,5864,33.51,1777,5486,56,26.5,100.5,0.0,0.13,13.42
330.4,100,5864,33.98,1777,5486,56,25.8,100.7,0.1,0.84,13.42
331.5,86,5864,33.41,1777,5486,56,29.2,69.5,1.48,0.0,13.43
332.5,100,5864,33.15,1777,5486,56,19.8,1.5,2.34,0.02,13.42
333.6,100,5864,34.18,1777,5486,56,17.9,3.0,0.0,0.0,13.42
334.7,100,5864,26.42,1777,5486,55,21.5,40.0,0.0,0.01,13.41
335.7,99,5864,30.53,1777,5486,55,24.3,100.7,0.0,0.59,13.42
336.8,100,5864,34.54,1777,5486,56,32.5,100.7,0.0,0.17,13.41
337.8,100,5864,33.71,1777,5486,56,24.7,100.3,0.0,0.0,13.4
338.9,100,5864,33.36,1777,5486,56,29.0,68.2,1.38,0.02,13.42
340.0,100,5864,33.50,1777,5486,56,23.2,2.9,3.07,0.03,13.43
341.0,100,5864,33.28,1777,5486,56,15.1,0.0,0.07,0.35,13.42
342.1,99,5864,27.70,1777,5486,55,18.6,40.0,0.0,0.02,13.42
343.1,100,5864,29.72,1777,5486,56,24.4,94.7,0.0,0.0,13.42
344.2,100,5864,35.03,1777,5486,56,25.3,91.8,0.0,0.03,13.42
345.2,100,5864,33.53,1777,5486,56,28.0,91.7,0.1,0.02,13.42
346.3,100,5864,33.49,1777,5486,56,31.1,67.9,3.21,0.1,13.42
347.4,100,5864,33.59,1777,5486,56,28.5,4.4,1.22,0.0,13.43
348.4,100,5864,32.89,1777,5486,56,22.8,1.5,0.06,0.05,13.43
349.5,100,5864,27.94,1777,5486,55,27.9,41.3,0.0,0.05,13.42
350.5,99,5864,30.09,1777,5486,56,29.2,98.8,0.08,0.27,13.42
351.6,100,5864,32.26,1777,5486,56,28.7,101.0,0.07,0.04,13.42
